Topic,Count,Name,Representation,Representative_Docs
248,80,248_gitignore_gitattributes_gitkeep_ignoring,"['gitignore', 'gitattributes', 'gitkeep', 'ignoring', 'projects', 'folder', 'configurations', 'gitgnore', 'claryfing', 'gitosis']","['What is the use of gitignore?', 'What is .gitignore?', 'What is .gitignore?']"
249,80,249_copy_assignment_constructor_swap,"['copy', 'assignment', 'constructor', 'swap', 'idiom', 'operator', 'constructors', 'move', 'elision', 'disallow']","['assignment operator vs. copy constructor C++', 'The copy constructor and assignment operator', 'The copy constructor and assignment operator']"
250,80,250_curvature_intuative_measure_mm,"['curvature', 'intuative', 'measure', 'mm', 'give', 'me', 'understanding', 'you', 'unsided', 'an']","['Can you give me an intuative understanding of the measure of curvature: ""4 1/mm""?', 'Can you give me an intuative understanding of the measure of curvature: ""4 1/mm""?', 'Can you give me an intuative understanding of the measure of curvature: ""4 1/mm""?']"
251,79,251_multithreading_threads_threadstart_thread,"['multithreading', 'threads', 'threadstart', 'thread', 'threading', 'multithreaded', 'spawning', 'winapi', 'parameterizedthreadstart', 'contention']","['Multithreading issue', '.net multithreading?', '.net multithreading']"
252,79,252_plist_version_bundle_build,"['plist', 'version', 'bundle', 'build', 'cfbundleshortversionstring', 'cfbundleversion', 'app', 'iphone', 'ios', 'gettings']","['How to retrieve Bundle Version in a label from project test-Info.plist in iphone?', 'plist bundle version values', 'How to read the Bundle version from PList?']"
253,79,253_mignon_elsschot_cheese_refer,"['mignon', 'elsschot', 'cheese', 'refer', 'expression', 'country', 'does', 'what', 'in', 'the']","['What does the expression ""Mignon country"" refer to in Elsschot\'s ""Cheese""?', 'What does the expression ""Mignon country"" refer to in Elsschot\'s ""Cheese""?', 'What does the expression ""Mignon country"" refer to in Elsschot\'s ""Cheese""?']"
254,79,254_parsefloat_places_decimal_decimals,"['parsefloat', 'places', 'decimal', 'decimals', 'commas', 'float', 'comma', 'round', 'rounding', 'digits']","['Round to at most 2 decimal places (only if it has decimal places) (JavaScript)', 'Get Number of Decimal Places with Javascript', 'How to parse float with two decimal places in javascript?']"
255,77,255_anaconda_environment_packages_install,"['anaconda', 'environment', 'packages', 'install', 'pypi', 'permanently', 'installation', 'miniconda', 'anaconda3', 'anaconda2']","['How to access Anaconda environment variables?', 'How to change default Anaconda python environment', 'Change default environment in anaconda']"
256,76,256_source_great_reproducible_package,"['source', 'great', 'reproducible', 'package', 'wilcox', 'survfit', 'acf', 'rprofile', 'stats', 'expert']","['Open source Package of R?', 'View the source of an R package', 'Open source Package of R?']"
257,76,257_frame_column_rename_renaming,"['frame', 'column', 'rename', 'renaming', 'extract', 'extracting', 'names', 'columns', 'dataframe', 'data']","['Rename specific column names in a data frame (in R)', 'Rename specific column names in a data frame (in R)', 'How do I extract a single column from a data.frame as a data.frame?']"
258,75,258_pdo_prepared_clause_bindvalue,"['pdo', 'prepared', 'clause', 'bindvalue', 'injection', 'statements', 'statement', 'clauses', 'bind', 'query']","['PHP PDO MySQL IN (?,?,?', ""What's wrong with this php pdo code?"", 'what is wrong with this PDO code?']"
259,75,259_dropdown_selected_select_chosen,"['dropdown', 'selected', 'select', 'chosen', 'option', 'reset', 'options', 'selectedindex', 'jquery', 'onchange']","['Set the selected index of a Dropdown using jQuery', 'jQuery get the selected dropdown value on change', 'jQuery: set selected value of dropdown list?']"
260,75,260_lambda_lambdas_calculus_serverless,"['lambda', 'lambdas', 'calculus', 'serverless', 'def', 'invalid', 'multiline', 'syntax', 'robotics', 'flake8']","['How to use lambda function in python', 'Python, use of lambda', 'What is a lambda (function)?']"
261,75,261_obligations_licensing_3rd_party,"['obligations', 'licensing', '3rd', 'party', 'libraries', 'uses', 'handle', 'app', 'their', 'multiple']","['My app uses multiple 3rd party libraries. How can I handle their licensing obligations?', 'My app uses multiple 3rd party libraries. How can I handle their licensing obligations?', 'My app uses multiple 3rd party libraries. How can I handle their licensing obligations?']"
262,74,262_complexity_big_algorithm_notation,"['complexity', 'big', 'algorithm', 'notation', 'log', 'little', 'asymptotic', 'oh', 'polynomial', 'separates']","['Big O-Notation complexity order', 'Big O Complexity algorithm', 'Time complexity in big O notation of algorithms']"
263,74,263_cors_enable_origin_allow,"['cors', 'enable', 'origin', 'allow', 'owin', 'postman', 'api', 'requested', 'webapi2', 'preflight']","['Enable CORS on my Web API not working', ""Can't enable CORS for web api"", 'Enable CORS in Web API 2']"
264,74,264_drawn_30_randomly_replacement,"['drawn', '30', 'randomly', 'replacement', 'keeping', 'numbers', 'select', 'values', 'they', 'without']","['Randomly select only 10 values out of numbers 1-30 without replacement & keeping the order they are drawn', 'Randomly select only 10 values out of numbers 1-30 without replacement & keeping the order they are drawn', 'Randomly select only 10 values out of numbers 1-30 without replacement & keeping the order they are drawn']"
265,74,265_lisp_macros_compiled_scheme,"['lisp', 'macros', 'compiled', 'scheme', 'language', 'dialect', 'macro', 'graham', 'atoms', 'paul']","['LISP 1.5 How lisp is like a machine language?', 'LISP 1.5 How lisp is like a machine language?', 'Lisp: difference between 2 and (2)']"
266,73,266_regex_regular_positive_decimal,"['regex', 'regular', 'positive', 'decimal', 'numbers', 'digit', 'digits', 'six', 'integer', 'excluding']","['JavaScript Regular Expression About Numbers', ""What's the Java regular expression for an only integer numbers string?"", 'Regular Expression, numbers?']"
267,72,267_king_afterwards_indian_castle,"['king', 'afterwards', 'indian', 'castle', 'away', 'then', 'attack', 'run', 'white', 'black']","[""Why does White castle into Black's attack in the King's Indian, and then run away afterwards?"", ""Why does White castle into Black's attack in the King's Indian, and then run away afterwards?"", ""Why does White castle into Black's attack in the King's Indian, and then run away afterwards?""]"
268,71,268_exceptions_exception_catch_runtimeexception,"['exceptions', 'exception', 'catch', 'runtimeexception', 'rethrow', 'throw', 'ioexception', 'thrown', 'throws', 'unchecked']","['Catch multiple exceptions at once?', 'Catch multiple exceptions at once?', 'How can I catch multiple exceptions?']"
269,71,269_min_max_largest_maximum,"['min', 'max', 'largest', 'maximum', 'minimum', 'highest', 'longest', 'absolute', 'tuples', 'greatest']","['finding min and max in python', 'Python max and min', 'Finding minimum and maximum in a list of tuples i.e (min,max),(max,min)?']"
270,70,270_getters_setters_getter_setter,"['getters', 'setters', 'getter', 'setter', 'set', 'allen', 'holub', 'wrote', 'contradictory', 'util']","['How do getters and setters work?', 'Java setters and getters', 'Java setters and getters']"
271,70,271_queue_dispatchqueue_dispatch_async_dispatch,"['queue', 'dispatchqueue', 'dispatch_async', 'dispatch', 'dispatch_sync', 'nsoperationqueue', 'dispatch_get_main_queue', 'asyncafter', 'dispatch_queue', 'unit']","['Operation Queue vs Dispatch Queue for iOS Application', 'Operation Queue vs Dispatch Queue for iOS Application', 'Operation Queue vs Dispatch Queue for iOS Application']"
272,70,272_exceptions_raising_exception_manually,"['exceptions', 'raising', 'exception', 'manually', 'throwing', 'catching', 'proper', 'declare', 'pickleable', 'baseexception']","['Python custom exception and sub-exceptions', 'Raising and catching exceptions in an expression in Python 3', 'Raising exceptions in Python']"
273,69,273_iterator_iterators_stl_reverse_iterator,"['iterator', 'iterators', 'stl', 'reverse_iterator', 'iterable', 'reverse', 'invalidation', 'pitfalls', 'infinite', 'iteration']","[""'function' object is not an iterator"", 'the value of iterator', 'How to use an iterator?']"
274,69,274_cocoa_objective_touch_swift,"['cocoa', 'objective', 'touch', 'swift', 'mix', 'framework', 'ipod', 'invoking', 'mixing', 'ios']","['The Difference between Cocoa and Cocoa Touch', 'What is the difference between Cocoa Touch and Objective C', 'What’s the difference between Xcode, Objective-C and Cocoa?']"
275,69,275_datetime_yyyymmdd_yyyymm_yyyy,"['datetime', 'yyyymmdd', 'yyyymm', 'yyyy', 'mmm', 'format', 'convert', 'jun', 'ffff', 'date']","['Convert a string to a datetime', 'how to convert string to datetime', 'How do I convert a datetime to date?']"
276,69,276_recursion_recursive_iterative_iteration,"['recursion', 'recursive', 'iterative', 'iteration', 'recursively', 'solvable', 'loops', 'every', 'rewritten', 'recall']","['Efficiency comparison of recursion and non recursive function in Java', 'What is recursion in python?', 'javascript recursion method?']"
277,69,277_multipart_rest_delete_body,"['multipart', 'rest', 'delete', 'body', 'restful', 'http', 'put', 'post', 'api', 'uploading']","['PUT and DELETE in REST API', 'Return a body with a REST DELETE', 'REST API - why use PUT DELETE POST GET?']"
278,69,278_pip_install_errno_capitan,"['pip', 'install', 'errno', 'capitan', 'packages', 'permission', 'denied', 'el', 'oserror', 'mac']","['Install pip on mac failed', ""Installing pip on Mac OS error - Permission denied: '/Library/Python/2.7/site-packages/pip'"", 'How do I install pip on Windows?']"
279,68,279_standard_core_net_nuget,"['standard', 'core', 'net', 'nuget', 'targeting', 'library', 'vnext', 'platform', 'intended', 'dotnetstandard']","['.NET Standard vs .NET Core', '.NET Standard vs .NET Core', '.NET Standard vs .NET Core']"
280,68,280_sed_bsd_replace_newline,"['sed', 'bsd', 'replace', 'newline', 'mac', 'substitution', 'editing', 'whole', 'lines', 'replacement']","['How to replace a whole line with sed?', 'Replace string on a line using sed command', 'Sed command replace string line']"
281,68,281_ref_mutable_let_generalization,"['ref', 'mutable', 'let', 'generalization', 'areas', 'interface', 'interfaces', 'mandatory', 'initializer', 'oo']","['F# Changing from mutable to ref', 'F# record: ref vs mutable field', 'F#: let mutable vs. ref']"
282,68,282_generic_generics_bounded_wildcards,"['generic', 'generics', 'bounded', 'wildcards', 'type', 'redundant', 'parameters', 'types', 'call', 'method']","['Class of generic class', 'Java generics: multiple generic parameters?', 'C++ generic type of generic type']"
283,68,283_javadoc_ruby_symbol_escape,"['javadoc', 'ruby', 'symbol', 'escape', 'snippet', 'var', 'prefix', 'heykidhellogmail', 'double_at_variable', 'stand']","['Escape @ Character in Javadoc', 'How to use @value tag in javadoc?', 'How to write ""@"" in javadoc?']"
284,68,284_button_background_material_appcompat,"['button', 'background', 'material', 'appcompat', 'bevel', 'materialbutton', 'beveled', 'theme', 'buttons', 'styled']","['Change background color of Button in Android', 'Android button background color', 'Change the background-image of a Button']"
285,66,285_shared_ptr_make_shared_std_aliasing,"['shared_ptr', 'make_shared', 'std', 'aliasing', 'ownership', 'pointer', 'pass', 'constructor', 'make_unique', 'passing']","['Should I pass a shared_ptr by reference?', 'Should I pass a shared_ptr by reference?', 'How can I create a shared_ptr to a member?']"
286,66,286_github_pull_request_tooling,"['github', 'pull', 'request', 'tooling', 'requests', 'pr', 'actions', 'pushing', 'commits', 'commit']","['How to do a GitHub pull request', 'git request-pull: how to create a (github) pull request on the command line?', 'git request-pull: how to create a (github) pull request on the command line?']"
287,66,287_chrome_extension_lasterror_unchecked,"['chrome', 'extension', 'lasterror', 'unchecked', 'runtime', 'extensions', 'executescript', 'chromeless', 'headless', 'establish']","['Chrome extension update - Chrome Web Store system error', 'Runtime error on chrome extension', 'Chrome extension']"
288,66,288_slower_faster_slow_new_file,"['slower', 'faster', 'slow', 'new_file', 'performance', 'dramatically', 'benchmark', 'println', 'significantly', 'walk']","[""c++ execution time is slower than python's"", 'Python Code is Way Slower Than The Same C++ Code?', 'Python Code is Way Slower Than The Same C++ Code?']"
289,66,289_chaining_static_php_methods,"['chaining', 'static', 'php', 'methods', 'chain', 'twig', 'quirks', 'oop', 'anonymously', 'utilisation']","['new/method chaining in PHP', 'PHP method chaining', 'Method Chaining PHP']"
290,66,290_keyboard_dismiss_resignfirstresponder_resign,"['keyboard', 'dismiss', 'resignfirstresponder', 'resign', 'uitextfield', 'responder', 'done', 'compose', 'textfield', 'jetpack']","['How to dismiss keyboard with multiple UITextField', 'resignFirstResponder does not dismiss keyboard', ""Resign keyboard on 'Done' button of keyboard""]"
291,66,291_random_uniform_int_distribution_rand_generating,"['random', 'uniform_int_distribution', 'rand', 'generating', 'numbers', 'std', 'random_device', 'generation', 'generate', 'predictable']","['random function in Visual C++ is not random', 'Use of random in C++', 'c++ random numbers not random']"
292,66,292_go_fmt_package_packages,"['go', 'fmt', 'package', 'packages', 'golang', 'build', 'import', 'cycle', 'repos', 'standard']","['Go ""cannot find package""', 'Go, go get, go install, local packages, and version control', 'How to use C++ in Go']"
293,66,293_emails_mathematical__,"['emails', 'mathematical', '', '', '', '', '', '', '', '']","['Mathematical emails', 'Mathematical emails', 'Mathematical emails']"
294,66,294_tags_strip_html_attributes,"['tags', 'strip', 'html', 'attributes', 'strip_tags', 'remove', 'tag', 'style', 'removing', 'everything']","['Remove HTML tags from a javascript string', 'How to strip Style Attributes from HTML Tags?', 'Remove all attributes from html tags']"
295,65,295_uiview_animation_animate_animatewithduration,"['uiview', 'animation', 'animate', 'animatewithduration', 'autoreverse', 'uiviewanimation', 'cornerradius', 'enumeration', 'animations', 'uiviewanimationcurve']","['Reverse a UIView Animation', 'UIView based animation', 'animate image/UIView iOS']"
296,65,296_photodiode_broadening_saturation_temporal,"['photodiode', 'broadening', 'saturation', 'temporal', 'signal', 'below', '', '', '', '']","['Photodiode Signal Temporal Broadening Below Saturation', 'Photodiode Signal Temporal Broadening Below Saturation', 'Photodiode Signal Temporal Broadening Below Saturation']"
297,65,297_htmlhelper_razor_hiddenfor_mvc,"['htmlhelper', 'razor', 'hiddenfor', 'mvc', 'htmlhelpers', 'asp', 'htmlattributes', 'html', 'controller', 'textboxfor']","['ASP.NET MVC - How do I render an HtmlHelper method in a controller?', 'Asp.Net MVC Call HtmlHelper with a variable', ""Can't call Html.HiddenFor from within my HtmlHelper. Why?""]"
298,65,298_static_methods_statically_aspx,"['static', 'methods', 'statically', 'aspx', 'tied', 'calling', 'instance', 'method', 'imitating', 'ease']","['Class (static) variables and methods', 'Use of Static Methods', 'Should C# methods that *can* be static be static?']"
299,64,299_fiddler_capturing_capture_proxy,"['fiddler', 'capturing', 'capture', 'proxy', 'sniffing', 'localhost', 'fiddlercore', 'slowdown', 'traffic', 'blocking']","[""Fiddler doesn't capture traffic from my C# app"", 'Filter Fiddler traffic', 'Filter Fiddler traffic']"
300,64,300_duplicates_unique_underscore_duplicate,"['duplicates', 'unique', 'underscore', 'duplicate', 'array', 'repeated', 'flooring', 'shuffled', 'values', 'consecutive']","['Get all unique values in a JavaScript array (remove duplicates)', 'Get all unique values in a JavaScript array (remove duplicates)', 'Get all unique values in a JavaScript array (remove duplicates)']"
301,64,301_checkboxes_checked_checkbox_unchecked,"['checkboxes', 'checked', 'checkbox', 'unchecked', 'jquery', 'uncheck', 'unselected', 'opposite', 'elem', 'setting']","['Finding all checkboxes are checked in jQuery', 'check all checkboxes that are not checked', 'Check all Checkboxes checked in jQuery']"
302,63,302_tree_treeset_trie_relational,"['tree', 'treeset', 'trie', 'relational', 'flat', 'trees', 'structure', 'ukkonen', 'hierarchical', 'traverse']","['Build tree from database', 'How can I implement a tree in Python?', 'find target in tree, delete whole tree if target not found']"
303,63,303_preg_replace_preg_replace_callback_modifier_preg_match,"['preg_replace', 'preg_replace_callback', 'modifier', 'preg_match', 'deprecated', 'delimiter', 'ending', 'backslash', 'alphanumeric', 'laravel']","['convert preg_replace to preg_replace_callback modifier error', ""Can't convert preg_replace() with modifier /e to preg_replace_callback()"", 'The /e modifier is deprecated, use preg_replace_callback instead of preg_replace()']"
304,63,304_blank_django_field_model,"['blank', 'django', 'field', 'model', 'null', 'default', 'models', 'none', 'modelform', 'foreignkey']","['How to check if a field/attribute is null and blank in Django?', 'What is the difference between Null and Blank in django Model', 'django model default="""" and ""This field cannot be blank""']"
305,63,305_guid_uuid_guids_dashes,"['guid', 'uuid', 'guids', 'dashes', 'newguid', 'generate', 'uniqueness', 'unrecognized', 'unique', 'generating']","['C# how to create a Guid value?', 'guid in System.Guid', 'how to create GUID?']"
306,63,306_es6_export_exports_require,"['es6', 'export', 'exports', 'require', 'import', 'commonjs', 'node', 'module', 'navbar', 'foo']","['Using Node.js require vs. ES6 import/export', 'Using Node.js require vs. ES6 import/export', 'Using Node.js require vs. ES6 import/export']"
307,63,307_padding_margin_width_border,"['padding', 'margin', 'width', 'border', 'div', 'cellspacing', 'cellpadding', 'css', 'total', 'element']","[""How to get an element's padding value using JavaScript?"", 'CSS Padding and width', 'padding + width']"
308,63,308_insert_update_trigger_inserted,"['insert', 'update', 'trigger', 'inserted', 'sql', 'table', 'exists', '2005', 'upsert', 'server']","['SQL UPDATE or INSERT', 'Update value on insert into table in SQL Server', 'T-SQL Insert or update']"
309,63,309_nsmanagedobject_managedobjectcontext_nsmanagedobjectcontext_nsmanagedobjects,"['nsmanagedobject', 'managedobjectcontext', 'nsmanagedobjectcontext', 'nsmanagedobjects', 'managed', 'appdelegate', 'temporary', 'core', 'instances', 'quickest']","['Core Data issue. Insert new NSManagedObject', 'Is not not possible to copy a core data NSManagedObject?', 'A copy of a NSManagedObject']"
310,63,310_angular_systemjs_production_prod,"['angular', 'systemjs', 'production', 'prod', 'angularjs', 'mode', 'aot', 'injection', 'dependency', 'loaded']","['How to tell if Angular 6 App is in production mode outside of Angular project', 'How do I implement systemjs in Angular 6+?', 'using systemjs on node.js (& Angular 2)']"
311,62,311_distinct_linq_particular_forum,"['distinct', 'linq', 'particular', 'forum', 'property', 'however', 'lambda', 'duplicate', 'directions', 'filtered']","['Distinct in LINQ-C#', 'Distinct in linq?', 'Distinct in LINQ-C#']"
312,61,312_lexicographical_sequences_parenthesis_length,"['lexicographical', 'sequences', 'parenthesis', 'length', 'correct', 'print', 'all', 'order', 'of', 'and']","['Print all correct parenthesis sequences of () and [] of length n in lexicographical order', 'Print all correct parenthesis sequences of () and [] of length n in lexicographical order', 'Print all correct parenthesis sequences of () and [] of length n in lexicographical order']"
313,61,313___init___obj_super_subtype,"['__init__', 'obj', 'super', 'subtype', 'typeerror', 'classobj', 'raises', 'superclass', 'explicit', 'myobject']","['Why does Super() return TypeError: super(type, obj): obj must be an instance or subtype of type', 'Why does Super() return TypeError: super(type, obj): obj must be an instance or subtype of type', 'Why does Super() return TypeError: super(type, obj): obj must be an instance or subtype of type']"
314,61,314_zeros_leading_pad_padded,"['zeros', 'leading', 'pad', 'padded', 'rfc', 'trailing', 'zeroes', 'zero', 'formatting', '0s']","['Add leading zeros after specific character', 'How can I format a number into a string with leading zeros?', 'Pad A String With Leading Zeros for Specified Value Range in SQL Server']"
315,61,315_initialization_initializer_11_initialized,"['initialization', 'initializer', '11', 'initialized', 'zero', 'constructor', 'members', 'initializer_list', 'initialisation', 'member']","['C++11 class member initialization', 'Class member initialization C++', 'C++ member initialization']"
316,61,316_length_maximum_hold_bytes,"['length', 'maximum', 'hold', 'bytes', 'characters', 'initialisation', 'long', 'getlong', 'e11', 'あいうえお']","[""String's Maximum length in Java - calling length() method"", ""String's Maximum length in Java - calling length() method"", ""String's Maximum length in Java - calling length() method""]"
317,61,317_lisp_condition_pythonic_contains,"['lisp', 'condition', 'pythonic', 'contains', 'checking', 'membership', 'list', 'satisfy', 'predicate', 'dolist']","['Check if item is in a list (Lisp)', 'How to check whether a list contains a character in common lisp', 'Lisp: Determine if a list contains a predicate']"
318,61,318_tabs_spaces_notepad_tab,"['tabs', 'spaces', 'notepad', 'tab', 'vim', 'expandtab', 'indent', 'emacs', 'vimrc', 'redefine']","['How to insert Tabs(not spaces) in vim?', 'Replace tabs with spaces in vim', 'Replace tabs with spaces in vim']"
319,60,319_val_lazy_def_scala,"['val', 'lazy', 'def', 'scala', 'variance', 'vals', 'var', 'decompilation', 'artifact', 'collector']","['What does a lazy val do?', 'What does a lazy val do?', '`def` vs `val` vs `lazy val` evaluation in Scala']"
320,60,320_unpacking_tuple_tuples_unpack,"['unpacking', 'tuple', 'tuples', 'unpack', 'generalizations', 'argument', 'comma', '448', 'arguments', 'parentheses']","['Extended tuple unpacking in Python 2', 'Extended tuple unpacking in Python 2', 'Python Tuple Unpacking']"
321,60,321_whitespace_spaces_whitespaces_remove,"['whitespace', 'spaces', 'whitespaces', 'remove', 'trim', 'space', 'removing', 'trailing', 'autospace', 'sugestions']","['Remove all whitespace in a string', 'Remove all whitespace in a string', 'How to remove whitespace in a string?']"
322,60,322_xsd_jaxb_xjc_generate,"['xsd', 'jaxb', 'xjc', 'generate', 'classes', 'jaxb2', 'annotated', 'complextype', 'suffix', 'generating']","['Jaxb, xjc: generate ONE single Java file out of Xsd', 'How can I generate classes from outside XSD file using JAXB XJC', 'Jaxb, xjc: generate ONE single Java file out of Xsd']"
323,60,323_immutable_immutability_mutable_mutability,"['immutable', 'immutability', 'mutable', 'mutability', 'strings', 'borrow', 'borrowed', 'changeable', 'puzzles', 'immutablity']","['Is this class Immutable?', 'Immutable in java', 'Immutable class?']"
324,59,324_implicit_implicits_shapeless_scala,"['implicit', 'implicits', 'shapeless', 'scala', 'bounds', 'conversions', 'context', 'aux', 'accomplish', 'implicitly']","['How can I use an implicit function with two parameters (Scala)?', 'scala function with implicit parameters', 'How do scala implicit values work?']"
325,59,325_rounding_round_division_double,"['rounding', 'round', 'division', 'double', 'places', 'down', 'decimal', 'digits', 'floor', 'dividing']","['Rounding a double in java', 'Rounding Issue using Math.Round', 'rounding double in java']"
326,59,326_focus_input_focusout_focused,"['focus', 'input', 'focusout', 'focused', 'onfocusout', 'div', 'keyboard', 'receive', 'field', 'jquery']","['Javascript Focus using .focus()', 'jquery focus on input', 'Javascript input focus']"
327,59,327_retrofit_interceptor_okhttp_retrofit2,"['retrofit', 'interceptor', 'okhttp', 'retrofit2', 'headers', 'header', 'response', 'koin', 'dagger', 'dynamic']","['How to get header response in Retrofit in Android?', 'android retrofit add custom header', 'How to get header from the server? Retrofit 2']"
328,58,328_max_rows_highest_column,"['max', 'rows', 'highest', 'column', 'maximum', 'oracle', 'selecting', 'score', 'each', 'sql']","['How to get rows with max(of a column) when using group by', 'How to get rows with max(of a column) when using group by', 'SQL select only rows with max value on a column']"
329,58,329_datastore_cloud_engine_google,"['datastore', 'cloud', 'engine', 'google', 'appengine', 'gae', 'app', 'technologies', 'kind', 'entity']","['Google App Engine Local datastore console', 'Android App Engine with Cloud SQL or Datastore', 'Datastore vs Cloud SQL in Google App Engine']"
330,58,330_stanford_nltk_pos_tagger,"['stanford', 'nltk', 'pos', 'tagger', 'parser', 'nlp', 'pos_tag', 'tagging', 'arabic', 'persian']","['Stanford POS tagger with nltk in arabic text', 'unable to use stanford pos tagger in nltk python', 'Error using Stanford POS Tagger in NLTK Python']"
331,58,331_remote_branch_remotely_locally,"['remote', 'branch', 'remotely', 'locally', 'delete', 'branches', 'deleted', 'forcefully', 'deleting', 'longer']","['How to delete a remote branch using Git?', 'How to delete a remote branch using Git?', 'How do I delete a remote branch in Git?']"
332,57,332_threading_thread_safe_threads,"['threading', 'thread', 'safe', 'threads', 'twisted', 'stopping', 'terminate', 'constantly', 'multithreading', 'appended']","['Python Threading', 'Threading In Python', 'Threading in Python']"
333,57,333_settimeout_pause_callback_timeout,"['settimeout', 'pause', 'callback', 'timeout', 'settime', 'gas', 'setinterval', 'delaying', 'requestanimationframe', 'unresponsive']","['setTimeout and ""this"" in JavaScript', 'Javascript setTimeout', 'Javascript settimeout']"
334,57,334_clipboard_copy_copied_button,"['clipboard', 'copy', 'copied', 'button', 'monitor', 'paste', 'customize', 'firefox', 'click', 'clipbrd_e_cant_open']","['How do I copy to the clipboard in JavaScript?', 'How to copy to clipboard javascript', 'Copy to clipboard in JavaScript']"
335,57,335_md5_checksum_collision_hash,"['md5', 'checksum', 'collision', 'hash', 'probability', 'hashlib', 'decrypt', 'encryption', 'md5sum', 'checksums']","['MD5 Hash, Python 3 . How to Generate In Python', 'Size of MD5 hash generated', 'PHP MD5(MD5) hashing']"
336,57,336_ignore_ignored_gist_exclude,"['ignore', 'ignored', 'gist', 'exclude', 'files', 'gitignore', 'ignoring', 'except', 'certain', 'directories']","['How to add a single file from a directory to git ignore?', 'Git Ignore not working for folder', 'Git ignore does not properly ignore directories or files']"
337,57,337_case_tupled_companion_scala,"['case', 'tupled', 'companion', 'scala', 'slick', 'easily', 'class', 'field', 'inheritance', 'generically']","['Difference between case class and case object?', ""What is the difference between Scala's case class and class?"", 'Scala: Value Class vs Case Class']"
338,57,338_kotlin_iterate_index_reversed,"['kotlin', 'iterate', 'index', 'reversed', 'asarray', 'loop', 'anotations', 'over', 'traditional', 'initiate']","[""Why can't I get a specific value from a list in kotlin?"", 'How to return from Kotlin function type', 'how return array from function in Kotlin']"
339,56,339_origin_master_refs_upstream,"['origin', 'master', 'refs', 'upstream', 'remotes', 'heads', 'reconcile', 'head', 'git', 'detached']","['What\'s the difference ""origin master"" vs ""origin/master""', 'In Git, what is the difference between origin/master vs origin master?', 'In Git, what is the difference between origin/master vs origin master?']"
340,56,340_config_configuration_transforms_app,"['config', 'configuration', 'transforms', 'app', 'section', 'slowcheetah', 'transformations', 'runtime', 'web', 'settings']","[""Can't add new sections into app.config"", 'App.Config change value', 'Nested app.config (web.config) files']"
341,56,341_dll_dlls_spoofing_discuss,"['dll', 'dlls', 'spoofing', 'discuss', 'loadlibrary', 'referenced', 'previously', 'hijacking', 'protect', 'posted']","['Where to put a dll file so that it can be used without reference?', 'Loading a dll from a dll?', 'visual studio Dll and Matlab']"
342,56,342_rmarkdown_knitr_pdf_markdown,"['rmarkdown', 'knitr', 'pdf', 'markdown', 'pandoc', 'rmd', 'margin', 'degree', 'embed', 'knit']","['Unicode with knitr and Rmarkdown', 'Reduce top margin when creating PDF from Rmarkdown using knitr', 'Changing font and/or margin in RStudio -> RMarkdown -> YAML -> knitr -> pandoc -> LaTex -> PDF']"
343,56,343_virtualenv_requirements_packages_pip,"['virtualenv', 'requirements', 'packages', 'pip', 'virtualenvwrapper', 'install', 'installing', 'virtual', 'pyenv', 'venv']","[""python can't use virtualenv"", 'Python Virtualenv', 'Python Virtualenv']"
344,56,344_scala_concatenation_substring_concatenate,"['scala', 'concatenation', 'substring', 'concatenate', 'adjacent', 'substitutions', 'replace', 'chars', 'satisfying', 'quotations']","['Scala list concatenation, ::: vs ++', 'How to do string concatenation in Scala', 'String concatenation in Scala']"
345,55,345_delete_folders_directories_directory,"['delete', 'folders', 'directories', 'directory', 'folder', 'empty', 'deleting', 'files', 'subdirectories', 'contents']","['How to delete files of a directory but not the folders', 'How to delete all files and folders in one folder on Android', 'How to delete all files and folders in one folder on Android']"
346,55,346_keyword_callback_refers_discussion,"['keyword', 'callback', 'refers', 'discussion', 'begineer', 'referencing', 'mystery', 'this', 'analogue', 'prototype']","[""The 'this' keyword in functions"", ""The 'this' keyword in a function"", '""this"" keyword inside javascript callback function']"
347,55,347_textarea_entered_tinymce_watermark,"['textarea', 'entered', 'tinymce', 'watermark', 'placeholder', 'jquery', 'append', 'markup', 'watermarks', 'watermarked']","['Get textarea text with JavaScript or jQuery', 'jquery value of textarea', 'jQuery get textarea text']"
348,55,348_final_finalize_applicable_modifier,"['final', 'finalize', 'applicable', 'modifier', 'keyword', 'whenever', 'modified', 'overwriting', 'specifier', 'variables']","['Final variables and methods inside a final class', 'When i have to use java final method?', 'final object in java']"
349,55,349_wasserstein_compact_distance_following,"['wasserstein', 'compact', 'distance', 'following', 'set', 'the', 'is', '', '', '']","['Is the following set compact w.r.t. the Wasserstein distance?', 'Is the following set compact w.r.t. the Wasserstein distance?', 'Is the following set compact w.r.t. the Wasserstein distance?']"
350,55,350_rows_polygons_duplicates_duplicated,"['rows', 'polygons', 'duplicates', 'duplicated', 'dplyr', 'duplicate', 'polygon', 'gis', 'neighbors', 'nearest']","['Randomly remove duplicated rows using dplyr()', 'Remove duplicated rows using dplyr', 'Filter only rows that are duplicated using dplyr']"
351,55,351_lock_synchronization_locking_locked,"['lock', 'synchronization', 'locking', 'locked', 'synchronized', 'locks', 'slowdown', 'publicly', 'hood', 'aid']","['C# using lock practice', 'C# thread locking and using a lock object; what should the correct scope be for the lock object?', 'C# lock statement, what object to lock on?']"
